id,order_no,product_name,unit,quantity,unit_price,total_price,remark
1,"20231113004","酸臭方块","包",30,8.2,246,""
2,"20231113004","红色风暴","包",10,12.5,125,""
3,"20231113004","翠花","包",10,7.8,78,""
4,"20231113004","蚯蚓","盒",20,2,40,""
5,"20231113004","王者之战","包",10,8.5,85,""
6,"20231209001","福联伞","把",2,85,170,""
7,"20231209001","福联伞","把",2,98,196,""
8,"20231209001","鲫鱼套餐","包",10,6.4,64,""
9,"20231209001","易包搞定腥","包",10,12,120,""
10,"20231209001","邓刚浮钓链","包",10,14.5,145,""
11,"20231209001","快意江湖","包",5,22,110,""
12,"20231209001","打勺窝","个",10,2.2,22,""
13,"20231209001","小白条","包",10,3.2,32,""
14,"20231209001","VB玉米","瓶",10,1.8,18,""
15,"20231209001","逍遥青颗粒","袋",5,18,90,""
16,"20231209001","逍遥青挂饵","瓶",3,15,45,""
17,"20231209001","黑妞颗粒","包",3,18,54,""
18,"20231209001","6孔伞笼","个",10,9,90,""
19,"20231209001","8孔伞笼","个",10,10,100,""
20,"20231209001","改良翻板钩","包",40,3.1,124,""
21,"20231209001","牛P红虫颗粒","包",10,7.5,75,""
22,"20231209001","牛B水","瓶",10,2.5,25,""
23,"20231209001","电池","个",20,0.9,18,""
24,"20231209001","纳米漂","支",30,2,60,""
25,"20231209001","小浮漂","支",30,1.4,42,""
26,"20231209002","白鲨花篮饵","包",10,8.3,83,""
27,"20231209002","不锈钢抄网","支",10,10,100,""
28,"20231209002","感应头灯","个",4,22,88,""
29,"20231209002","傲湖太空豆","包",20,0.6,12,""
30,"20231209002","铜头漂座","包",20,0.7,14,""
31,"20231209002","万能神捕","包",30,2.5,75,""
32,"20231209002","竞技鱼护","个",5,24,120,""
33,"20231209002","漂盒","个",2,20,40,""
34,"20231209002","木抄网","个",5,9,45,""
35,"20231209002","木抄网","个",5,13,65,""
36,"20231209002","河鱼王","包",10,8,80,""
37,"20231209002","甜嫩玉米","瓶",10,4.5,45,""
38,"20231209002","天网甜薯玉
米","包",10,5.5,55,""
39,"20231209002","调位双钩","包",20,2.5,50,""
40,"20231209002","抄网头","个",5,12,60,""
41,"20231209002","抄网头","个",5,11,55,""
42,"20231209002","大物纳米漂","支",10,4,40,""
43,"20231209002","锐鹰子线钩","包",20,2.7,54,""
44,"20231209002","脱钩器","个",5,6,30,""
45,"20231209002","笼网宝","包",20,2.5,50,""
46,"20231226001","天元复合拉
丝粉","瓶",3,10.8,32.4,""
47,"20231226001","名捕拉丝粉","瓶",3,6,18,""
48,"20231226001","西北风老坛
维它米","瓶",3,9.5,28.5,""
49,"20231226001","天网伙食米","瓶",3,5.6,16.8,""
50,"20231226001","纵横四方6号","包",4,21,84,""
51,"20231226001","全能腥","包",5,8,40,""
52,"20231226001","蓝鲫X5","包",5,8.3,41.5,""
53,"20231226001","小速攻腥版","包",5,4,20,""
54,"20231226001","狼牙手绑钩","板",11,11.5,126.5,""
55,"20231226001","巨烽双钩","板",15,5.8,87,""
56,"20231226001","大号木抄网","个",2,13,26,""
57,"20231226001","中号木抄网","个",2,9,18,""
58,"20231226001","蚯蚓","盒",30,2,60,""
59,"20231226001","天网伙食米","瓶",3,6.8,20.4,""
60,"20231113001","全能腥","件",1,390,390,""
61,"20231113001","全能香","件",1,390,390,""
62,"20231113001","复合拉丝粉","瓶",10,10.8,108,""
63,"20231113001","刘志强爆护","瓶",5,2.8,14,""
64,"20231113006","九一八加酒
米","包",10,7.8,78,""
65,"20231113006","手绑新关东","板",10,11.5,115,""
66,"20231113006","手绑伊豆","板",10,11.5,115,""
67,"20231113006","手绑金海夕","板",10,11.5,115,""
68,"20231113006","大板鲫","包",10,4.4,44,""
69,"20231113006","刘志强全能
窝","包",10,9.5,95,""
70,"20231113006","不空军鲢鳙","包",10,12,120,""
71,"20231113006","纵横四方老
版1号","包",10,17,170,""
72,"20231113006","纵横四方升
级版1号","包",10,21,210,""
73,"20231113006","纵横四方6号","包",10,21,210,""
74,"20231113006","九一八腥版","包",10,7,70,""
75,"20231113006","太湖一号蓝
莓珠珠","瓶",5,30,150,""
76,"20231113006","老鬼南极磷
虾拉","包",10,8,80,""
77,"20231113006","老鬼南极磷
蚯拉","包",10,8,80,""
78,"20231113006","九狼翻板钩","包",10,3,30,""
