id,name,global_price,unit
1,"酸臭方块",8,"包"
2,"红色风暴",11.5,"包"
3,"翠花",7.8,"包"
4,"蚯蚓",2,"盒"
5,"王者之战",8.2,"包"
6,"福联伞",52,"把"
7,"鲫鱼套餐",6.5,"包"
8,"易包搞定腥",12,"包"
9,"邓刚浮钓链",325,"件"
10,"快意江湖",21,"包"
11,"打勺窝",2.2,"个"
12,"小白条",3.4,"包"
13,"VB玉米",1.8,"瓶"
14,"逍遥青颗粒",17,"袋"
15,"逍遥青挂饵",11,"瓶"
16,"黑妞颗粒",12,"瓶"
17,"6孔伞笼",9,"个"
18,"8孔伞笼",10,"个"
19,"改良翻板钩",3,"包"
20,"牛P红虫颗粒",7.5,"包"
21,"牛B水",2.5,"瓶"
22,"电池",0.8,"个"
23,"纳米漂",3.5,"支"
24,"小浮漂",1.4,"支"
25,"白鲨花篮饵",7.8,"包"
26,"不锈钢抄网",22,"套"
27,"感应头灯",24,"个"
28,"傲湖太空豆",0.6,"包"
29,"铜头漂座",1,"包"
30,"万能神捕",2.5,"包"
31,"竞技鱼护",24,"个"
32,"漂盒",20,"个"
33,"木抄网",9,"个"
34,"河鱼王",7.3,"包"
35,"甜嫩玉米",1.8,"瓶"
36,"天网甜薯玉米",5.5,"包"
37,"调位双钩",2.5,"包"
38,"抄网头",11,"个"
39,"大物纳米漂",3.5,"支"
40,"锐鹰子线钩",2.8,"包"
41,"脱钩器",6,"个"
42,"笼网宝",2.5,"包"
43,"天元复合拉丝粉",10.8,"瓶"
44,"名捕拉丝粉",6,"瓶"
45,"西北风老坛维它米",9.5,"瓶"
46,"天网伙食米",5.6,"瓶"
47,"纵横四方6号",20,"包"
48,"全能腥",7.6,"包"
49,"蓝鲫X5",7.3,"包"
50,"小速攻腥版",4,"包"
51,"狼牙手绑钩",12,"板"
52,"巨烽双钩",5.8,"板"
53,"大号木抄网",13,"个"
54,"中号木抄网",9,"个"
55,"全能香",7.8,"包"
56,"复合拉丝粉",10.5,"瓶"
57,"刘志强爆护",2.8,"瓶"
58,"九一八加酒米",7.8,"包"
59,"手绑新关东",12,"板"
60,"手绑伊豆",11.5,"板"
61,"手绑金海夕",2.5,"板"
62,"大板鲫",4.2,"包"
63,"刘志强全能窝",8.8,"包"
64,"不空军鲢鳙",12.5,"包"
65,"纵横四方老版1号",17,"包"
66,"纵横四方升级版1号",22,"包"
67,"九一八腥版",6.5,"包"
68,"太湖一号蓝莓珠珠",30,"瓶"
69,"老鬼南极磷虾拉",8,"包"
70,"老鬼南极磷蚯拉",3,"包"
71,"九狼翻板钩",3,"包"
72,"诺龙翻板钩",3,"包"
73,"麝香酒",6,"瓶"
74,"易包搞定香",12,"包"
75,"龙王恨拉丝粉",6,"瓶"
76,"黑坑线组",5,"付"
77,"赛道",16,"包"
78,"菜柏饼",304,"件"
79,"军工椅",23,"把"
80,"军工凳",14,"把"
81,"彩线",9,"包"
82,"感应灯",24,"个"
83,"太空豆",14,"包"
84,"斩妖",93,"支"
85,"名捕",6,"瓶"
86,"巨烽袖无刺",5.8,"板"
87,"白鲨酸臭方块",7.8,"包"
88,"空心铅",1.8,"个"
89,"拉丝粉",2.8,"瓶"
90,"鱼浪酒米",2.4,"瓶"
91,"伙食米",6.8,"瓶"
92,"倒钓钩",6.5,"包"
93,"红湘霸",6.6,"包"
94,"神野",4.8,"包"
95,"升级版蓝鲫",6,"包"
96,"大力马100米",10,"个"
97,"全磁拉饵盘",20,"个"
98,"拉饵盘",10,"包"
99,"特大太空豆",20,"包"
100,"浮漂连接环",30,"包"
101,"特奔轮",76,"个"
102,"三体",10.8,"包"
103,"海竿地插",2.5,"个"
104,"特大海漂",0.7,"个"
105,"大号海漂",50,"包"
106,"502胶水",1.2,"支"
107,"泡沫球",0.7,"个"
108,"西北风维它米",8.8,"瓶"
109,"红虫风暴",10.8,"包"
110,"神野风暴",5,"包"
111,"天网伙食碎米",5.6,"瓶"
112,"南极虾粉",3,"包"
113,"蓝凳子",9.5,"把"
114,"3.6米钓竿",10,"支"
115,"4.5米钓竿",14,"支"
116,"伏兵",48,"支"
117,"风神",63,"支"
118,"大鲫终结者",10,"包"
119,"地狱猫",6.5,"包"
120,"血麦",3,"瓶"
121,"九一八狂拉",7.8,"包"
122,"草莓方块",8,"包"
123,"地狱猫腥",6.8,"包"
124,"地狱猫香",6.6,"包"
125,"野牛一号",7,"包"
126,"易包搞定腥香",12,"包"
127,"天元千里香",15.5,"包"
128,"天元虾肉散炮",12,"包"
129,"三层网",18,"条"
130,"浮漂座",1.2,"包"
131,"防鸟网",8.5,"条"
132,"冠军杯纳米漂",20,"支"
133,"老鬼虾拉",8,"包"
134,"天元嫩玉米",13,"包"
135,"达摩",10,"盘"
136,"湘霸",6.6,"包"
137,"糠饼",9.5,"个"
138,"全能腥香",8,"包"
139,"巨无霸",6.5,"包"
140,"野战蓝鲫",5.2,"包"
141,"货票",8,"件"
142,"射香酒",8,"瓶"
143,"老G散炮鲫",11,"包"
144,"600克伙食米碎米",5.6,"瓶"
145,"240克来得快酒米",2.4,"瓶"
146,"钢丝绳打虾器",13.5,"个"
147,"老鬼小肽蛋白",12.5,"包"
148,"巨物太空豆",0.7,"个"
149,"锐鹰翻板钩",3,"包"
150,"锚钩",2.8,"个"
151,"伙食米碎米",6.8,"瓶"
152,"西部风老坛五谷杂粮",8,"包"
153,"西部风老坛甜薯玉米",7.8,"包"
154,"1+1草鱼颗粒",4,"瓶"
155,"全能兄弟",7,"包"
156,"今晚吃鱼",6.5,"包"
157,"不空军",5.5,"包"
158,"鱼浪红大米",2.3,"瓶"
159,"巨烽伊豆双钩",5.8,"板"
160,"天网生鲜玉米",6.2,"包"
161,"快速针别",0.7,"包"
162,"硅胶座浮漂",1.2,"包"
163,"PE线",50,"盘"
164,"七星漂",20,"板"
165,"打渔郎下水裤",60,"条"
166,"网子",4.5,"个"
167,"铁耙抄网",28,"个"
168,"血防鞋",28,"双"
169,"黑猫白猫",6.3,"包"
170,"九一八香经典",7.8,"包"
171,"钢弹2号",6,"包"
172,"乙烯线",8,"坨"
173,"铁耙网",18,"个"
174,"粗线网子",6.5,"个"
175,"三层网2m",100,"条"
176,"三层网1.5m",90,"条"
177,"拉丝粉名捕",6,"瓶"
178,"谷子大师",9,"包"
179,"鱼竿3.6m",10,"支"
180,"4.5m",14,"支"
181,"西部风老坛维它米",6.2,"瓶"
182,"天元鲫",6,"包"
183,"浮低抽心",37,"包"
184,"串钩坨",0.4,"个"
185,"串钩",2.5,"付"
186,"纵横四方2号",17,"包"
187,"钢蛋2号",6,"包"
188,"钢蛋3号",4,"包"
189,"铁网头",18,"个"
190,"来得快",6.5,"包"
191,"巨烽袖有刺",5.8,"板"
192,"全能药包",2.5,"包"
193,"鱼护",9,"个"
194,"鱼护包",22,"个"
195,"靠背椅",17,"个"
196,"变色电子漂",5.5,"支"
197,"特价杆",36,"支"
198,"名轮轻风神",65,"支"
199,"多用漂盒",16,"个"
200,"浅水漂",1.3,"支"
201,"旋风纳米漂",3,"支"
202,"大头纳米漂",3.5,"支"
203,"配节",12,"套"
204,"天元浮钓鲢",14,"包"
205,"浮底抽心",19,"包"
206,"虾饵",2.5,"包"
207,"蓝鲫风暴",6.5,"包"
208,"金版蓝鲫",6,"包"
209,"好槺饼",9.5,"个"
210,"吴亚",37,"包"
211,"虾网",3.5,"个"
